paper_id,collection,journal,source_md_path,doi,title,title_norm,authors,first_author_norm,year,bibtex,final_domain_id
paper_dd6953c10f1a,group2,group2,group2/820_812115903951929345_10.1007%2Fpl00011375.fixed.md,10.1007/pl00011375,A penalized Fischer-Burmeister NCP-function,a penalized fischer burmeister ncp function,Key words. nonlinear complementarity problem Newton's method semismoothness,semismoothness,2000.0,"@article{Chen_2000, title={A penalized Fischer-Burmeister NCP-function}, volume={88}, ISSN={0025-5610}, url={http://dx.doi.org/10.1007/pl00011375}, DOI={10.1007/pl00011375}, number={1}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Chen, Bintong and Chen, Xiaojun and Kanzow, Christian}, year={2000}, month=June, pages={211â€“216} }",10
paper_1a2a51786743,group2,group2,group2/820_812115946784161793_10.1007%2Fpl00011396.fixed.md,10.1007/pl00011396,On consistency of stochastic dominance and mean-semideviation models*,on consistency of stochastic dominance and mean semideviation models,Key words. decisions under risk stochastic dominance mean-risk models portfolio optimization,optimization,2000.0,"@article{Ogryczak_2001, title={On consistency of stochastic dominance and mean–semideviation models}, volume={89}, ISSN={0025-5610}, url={http://dx.doi.org/10.1007/pl00011396}, DOI={10.1007/pl00011396}, number={2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Ogryczak, Włodzimierz and Ruszczyński, Andrzej}, year={2001}, month=Jan, pages={217–232} }",18
paper_ba11f439596e,group2,group2,group2/820_812115999665946624_10.1007%2Fpl00011373.fixed.md,10.1007/pl00011373,J.V. Burke* · Maijian Qian,j v burke maijian qian,On the superlinear convergence of the variable metric proximal point algorithm using Broyden; BFGS matrix secant updating,broyden,2000.0,"@article{Burke_2000, title={On the superlinear convergence of the variable metric proximal point algorithm using Broyden and BFGS matrix secant updating}, volume={88}, ISSN={0025-5610}, url={http://dx.doi.org/10.1007/pl00011373}, DOI={10.1007/pl00011373}, number={1}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Burke, J.V. and Qian, Maijian}, year={2000}, month=June, pages={157â€“181} }",12
paper_2a700ac6551c,group2,group2,group2/820_812116028405317633_10.1007%2Fpl00011429.fixed.md,10.1007/pl00011429,C. Lemarechal $\cdot$ A. Renaud,c lemarechal cdot a renaud,A geometric study of duality gaps; with applications,gaps,2001.0,"@article{Lemar_chal_2001, title={A geometric study of duality gaps, with applications}, volume={90}, ISSN={0025-5610}, url={http://dx.doi.org/10.1007/pl00011429}, DOI={10.1007/pl00011429}, number={3}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Lemaréchal, C. and Renaud, A.}, year={2001}, month=May, pages={399–427} }",12
paper_6903fad71479,group2,group2,group2/820_812116053382397952_10.1007%2Fpl00011430.fixed.md,10.1007/pl00011430,Mixing mixed-integer inequalities\*\*\*,mixing mixed integer inequalities,Key words. mixed integer programming mixed integer rounding Gomory mixed integer cuts,cuts,2001.0,"@article{G_nl_k_2001, title={Mixing mixed-integer inequalities}, volume={90}, ISSN={0025-5610}, url={http://dx.doi.org/10.1007/pl00011430}, DOI={10.1007/pl00011430}, number={3}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Günlük, Oktay and Pochet, Yves}, year={2001}, month=May, pages={429–457} }",5
paper_5079a4136b0e,group2,group2,group2/820_812116090694926336_10.1007%2Fpl00011374.fixed.md,10.1007/pl00011374,Change of generalized indices of stationary solutions to multiparametric optimization,change of generalized indices of stationary solutions to multiparametric optimization,Key words. multiparametric optimization generalized index regular value condition existence of locally bounded Lagrange multiplier vector,vector,2000.0,"@article{Shida_2000, title={Change of generalized indices of stationary solutions. to multiparametric optimization}, volume={88}, ISSN={0025-5610}, url={http://dx.doi.org/10.1007/pl00011374}, DOI={10.1007/pl00011374}, number={1}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Shida, Masayuki}, year={2000}, month=June, pages={193â€“210} }",2
paper_907035c12212,group2,group2,group2/820_812116094964727809_10.1007%2Fpl00011384.fixed.md,10.1007/pl00011384,Conditions ensuring the applicability of cutting-plane methods for solving variational inequalities*,conditions ensuring the applicability of cutting plane methods for solving variational inequalities,Key words. variational inequalities cutting planes generalized monotonicity,monotonicity,2000.0,"@article{Crouzeix_2000, title={Conditions ensuring the applicability of cutting-plane methods for solving variational inequalities}, volume={88}, ISSN={0025-5610}, url={http://dx.doi.org/10.1007/pl00011384}, DOI={10.1007/pl00011384}, number={3}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Crouzeix, Jean-Pierre and Marcotte, Patrice and Zhu, Daoli}, year={2000}, month=Sept, pages={521â€“539} }",7
paper_3f8426f2e846,group2,group2,group2/820_812116108088705024_10.1007%2Fpl00011406.fixed.md,10.1007/pl00011406,Error bounds for 2-regular mappings with Lipschitzian derivatives and their applications,error bounds for 2 regular mappings with lipschitzian derivatives and their applications,Key words. error bound C; mapping regularity nonlinear complementarity problem exterior penalty rate of convergence,c,2001.0,"@article{Izmailov_2001, title={Error bounds for 2-regular mappings with Lipschitzian derivatives and their applications}, volume={89}, ISSN={0025-5610}, url={http://dx.doi.org/10.1007/pl00011406}, DOI={10.1007/pl00011406}, number={3}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Izmailov, A.F. and Solodov, M.V.}, year={2001}, month=Feb, pages={413â€“435} }",4
paper_a1042fc0d355,group2,group2,group2/820_812116135062274049_10.1007%2Fpl00011378.fixed.md,10.1007/pl00011378,Polynomial convergence of primal-dual algorithms for the second-order cone program based on the MZ-family of directions,polynomial convergence of primal dual algorithms for the second order cone program based on the mz family of directions,Key words. second-order cone programming ice-cream cone interior-point methods polynomial complexity path-following methods primal-dual methods Newton method,method,2000.0,"@article{Monteiro_2000, title={Polynomial convergence of primal-dual algorithms for the second-order cone program based on the MZ-family of directions}, volume={88}, ISSN={0025-5610}, url={http://dx.doi.org/10.1007/pl00011378}, DOI={10.1007/pl00011378}, number={1}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Monteiro, Renato D.C. and Tsuchiya, Takashi}, year={2000}, month=June, pages={61â€“83} }",6
paper_f9e354b4cabf,group2,group2,group2/820_812116159833833472_10.1007%2Fpl00011433.fixed.md,10.1007/pl00011433,A Log-Barrier method with Benders decomposition for solving two-stage stochastic linear programs*,a log barrier method with benders decomposition for solving two stage stochastic linear programs,Key words. stochastic programming large-scale linear programming Barrier function interior point methods Benders decomposition complexity,complexity,2001.0,"@article{Zhao_2001, title={A Log-Barrier method with Benders decomposition for solving two-stage stochastic linear programs}, volume={90}, ISSN={0025-5610}, url={http://dx.doi.org/10.1007/pl00011433}, DOI={10.1007/pl00011433}, number={3}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Zhao, Gongyun}, year={2001}, month=May, pages={507â€“536} }",18
paper_f47d28ea0da5,group2,group2,group2/820_812116163373826048_10.1007%2Fpl00011408.fixed.md,10.1007/pl00011408,On the generic properties of convex optimization problems in conic form,on the generic properties of convex optimization problems in conic form,Key words. convex optimization strict complementarity nondegeneracy,nondegeneracy,2000.0,"@article{Pataki_2001, title={On the generic properties of convex optimization problems in conic form}, volume={89}, ISSN={0025-5610}, url={http://dx.doi.org/10.1007/pl00011408}, DOI={10.1007/pl00011408}, number={3}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Pataki, Gábor and Tunçel, Levent}, year={2001}, month=Feb, pages={449–457} }",8
paper_7bd52a7c0e54,group2,group2,group2/820_812116166645383168_10.1007%2Fpl00011390.fixed.md,10.1007/pl00011390,Strong inequalities for capacitated survivable network design problems*,strong inequalities for capacitated survivable network design problems,sum e in C x e geq lceil d C rceil tag,tag,2000.0,"@article{Bienstock_2000, title={Strong inequalities for capacitated survivable network design problems}, volume={89}, ISSN={0025-5610}, url={http://dx.doi.org/10.1007/pl00011390}, DOI={10.1007/pl00011390}, number={1}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Bienstock, Daniel and Muratore, Gabriella}, year={2000}, month=Nov, pages={127â€“147} }",21
paper_28527e3165b8,group2,group2,group2/820_812116187096809474_10.1007%2Fpl00011381.fixed.md,10.1007/pl00011381,Set packing relaxations of some integer programs,set packing relaxations of some integer programs,Key words. set packing polyhedral combinatorics cutting planes integer programming,programming,2000.0,"@article{Bornd_rfer_2000, title={Set packing relaxations of some integer programs}, volume={88}, ISSN={0025-5610}, url={http://dx.doi.org/10.1007/pl00011381}, DOI={10.1007/pl00011381}, number={3}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Borndörfer, Ralf and Weismantel, Robert}, year={2000}, month=Sept, pages={425–450} }",5
paper_729d33b28262,group2,group2,group2/820_812116206248001537_10.1007%2Fpl00011394.fixed.md,10.1007/pl00011394,Discretization and localization in successive convex relaxation methods for nonconvex quadratic optimization,discretization and localization in successive convex relaxation methods for nonconvex quadratic optimization,This paper deals with a general quadratic optimization problem abbreviated by QOP of the form,form,2000.0,"@article{Kojima_2000, title={Discretization and localization in successive convex relaxation methods for nonconvex quadratic optimization}, volume={89}, ISSN={0025-5610}, url={http://dx.doi.org/10.1007/pl00011394}, DOI={10.1007/pl00011394}, number={1}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Kojima, Masakazu and Tunçel, Levent}, year={2000}, month=Nov, pages={79–111} }",8
paper_d3d45446407a,group2,group2,group2/820_812116265605791745_10.1007%2Fpl00011427.fixed.md,10.1007/pl00011427,Combinatorial relaxation algorithm for mixed polynomial matrices,combinatorial relaxation algorithm for mixed polynomial matrices,This is intended to be a nontrivial application of mathematical programming techniques to computer algebra; systems analysis.,algebra,2001.0,"@article{Iwata_2001, title={Combinatorial relaxation algorithm for mixed polynomial matrices}, volume={90}, ISSN={0025-5610}, url={http://dx.doi.org/10.1007/pl00011427}, DOI={10.1007/pl00011427}, number={2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Iwata, Satoru and Murota, Kazuo}, year={2001}, month=Apr, pages={353â€“371} }",10
paper_486dfe95b41b,group2,group2,group2/820_812116315614478336_10.1007%2Fpl00011432.fixed.md,10.1007/pl00011432,Solving the Asymmetric Travelling Salesman Problem with time windows by branch-and-cut,solving the asymmetric travelling salesman problem with time windows by branch and cut,Key words. Asymmetric Travelling Salesman Problem time windows integer programs branch; cut-algorithm heuristics control of stacker cranes,branch,2001.0,"@article{Ascheuer_2001, title={Solving the Asymmetric Travelling Salesman Problem with time windows by branch-and-cut}, volume={90}, ISSN={0025-5610}, url={http://dx.doi.org/10.1007/pl00011432}, DOI={10.1007/pl00011432}, number={3}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Ascheuer, Norbert and Fischetti, Matteo and Grötschel, Martin}, year={2001}, month=May, pages={475–506} }",21
paper_90f94bd4e8eb,group2,group2,group2/820_812116337915592705_10.1007%2Fpl00011399.fixed.md,10.1007/pl00011399,Credit risk optimization with Conditional Value-at-Risk criterion,credit risk optimization with conditional value at risk criterion,with the lack of historical data to estimate credit correlations; poses significant modeling challenges; compared to market risk modeling,correlations,2000.0,"@article{Andersson_2001, title={Credit risk optimization with Conditional Value-at-Risk criterion}, volume={89}, ISSN={0025-5610}, url={http://dx.doi.org/10.1007/pl00011399}, DOI={10.1007/pl00011399}, number={2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Andersson, Fredrik and Mausser, Helmut and Rosen, Dan and Uryasev, Stanislav}, year={2001}, month=Jan, pages={273â€“291} }",2
paper_7633a3aa9f9d,group2,group2,group2/820_812116367632236545_10.1007%2Fpl00011428.fixed.md,10.1007/pl00011428,Concavity cuts for disjoint bilinear programming,concavity cuts for disjoint bilinear programming,Key words. concavity cuts disjoint bilinear programming linear maxmin programming branch; bound algorithm global optimization,branch,2001.0,"@article{Alarie_2001, title={Concavity cuts for disjoint bilinear programming}, volume={90}, ISSN={0025-5610}, url={http://dx.doi.org/10.1007/pl00011428}, DOI={10.1007/pl00011428}, number={2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Alarie, Stéphane and Audet, Charles and Jaumard, Brigitte and Savard, Gilles}, year={2001}, month=Apr, pages={373–398} }",7
paper_ba9d943eff0d,group2,group2,group2/820_812116400901455873_10.1007%2Fpl00011403.fixed.md,10.1007/pl00011403,Parallel machine scheduling with high multiplicity,parallel machine scheduling with high multiplicity,Key words. sequencing deterministic parallel machine high multiplicity computational complexity,complexity,1993.0,"@article{Clifford_2001, title={Parallel machine scheduling with high multiplicity}, volume={89}, ISSN={0025-5610}, url={http://dx.doi.org/10.1007/pl00011403}, DOI={10.1007/pl00011403}, number={3}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Clifford, John J. and Posner, Marc E.}, year={2001}, month=Feb, pages={359â€“383} }",21
paper_18bb4340136a,group2,group2,group2/820_812116433117904897_10.1007%2Fpl00011376.fixed.md,10.1007/pl00011376,László Lipták $\cdot$ László Lovász,l szl lipt k cdot l szl lov sz,Facets with fixed defect of the stable set polytope,polytope,2000.0,"@article{Lipt_k_2000, title={Facets with fixed defect of the stable set polytope}, volume={88}, ISSN={0025-5610}, url={http://dx.doi.org/10.1007/pl00011376}, DOI={10.1007/pl00011376}, number={1}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Lipták, László and Lovász, László}, year={2000}, month=June, pages={33–44} }",12
paper_d00b03278c99,group2,group2,group2/820_812116434283921409_10.1007%2Fpl00011389.fixed.md,10.1007/pl00011389,Gérard Cornuéjols $\cdot$ Bertrand Guenin $\cdot$ François Margot,g rard cornu jols cdot bertrand guenin cdot fran ois margot,The packing property,property,2000.0,"@article{Cornu_jols_2000, title={The packing property}, volume={89}, ISSN={0025-5610}, url={http://dx.doi.org/10.1007/pl00011389}, DOI={10.1007/pl00011389}, number={1}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Cornuéjols, Gérard and Guenin, Bertrand and Margot, François}, year={2000}, month=Nov, pages={113–126} }",12
paper_ca02c71f48cd,group2,group2,group2/820_812116438037823488_10.1007%2Fpl00011398.fixed.md,10.1007/pl00011398,G.Ch. Pflug,g ch pflug,Scenario tree generation for multiperiod financial optimization by optimal discretization,discretization,2000.0,"@article{Pflug_2001, title={Scenario tree generation for multiperiod financial optimization by optimal discretization}, volume={89}, ISSN={0025-5610}, url={http://dx.doi.org/10.1007/pl00011398}, DOI={10.1007/pl00011398}, number={2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Pflug, G.Ch.}, year={2001}, month=Jan, pages={251â€“271} }",12
paper_d44597e2c720,group2,group2,group2/820_812116440495685632_10.1007%2Fpl00011391.fixed.md,10.1007/pl00011391,A trust region method based on interior point techniques for nonlinear programming,a trust region method based on interior point techniques for nonlinear programming,we will only consider here inequality constrained problems of the form,form,2000.0,"@article{Byrd_2000, title={A trust region method based on interior point techniques for nonlinear programming}, volume={89}, ISSN={0025-5610}, url={http://dx.doi.org/10.1007/pl00011391}, DOI={10.1007/pl00011391}, number={1}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Byrd, Richard H. and Gilbert, Jean Charles and Nocedal, Jorge}, year={2000}, month=Nov, pages={149â€“185} }",19
paper_b1efc989fd9c,group2,group2,group2/820_812116457667166208_10.1007%2Fpl00011409.fixed.md,10.1007/pl00011409,Global optimization of nonconvex factorable programming problems,global optimization of nonconvex factorable programming problems,Key words. factorable programs reformulation-linearization technique RLT nonconvex programming global optimization,optimization,2000.0,,2
paper_cdb9e45400d9,group2,group2,group2/820_812116467288899584_10.1007%2Fpl00011395.fixed.md,10.1007/pl00011395,2. Single-period financial optimization models,2 single period financial optimization models,Maximize f x eta Z eta Z,z,1997.0,"@article{Mulvey_2001, title={Introduction to financial optimization: Mathematical Programming Special Issue}, volume={89}, ISSN={0025-5610}, url={http://dx.doi.org/10.1007/pl00011395}, DOI={10.1007/pl00011395}, number={2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Mulvey, John M.}, year={2001}, month=Jan, pages={205â€“216} }",2
paper_9f6d4125be7a,group2,group2,group2/820_812116474633125889_10.1007%2Fpl00011434.fixed.md,10.1007/pl00011434,Vertex-Disjoint Packing of Two Steiner Trees: polyhedra and branch-and-cut*,vertex disjoint packing of two steiner trees polyhedra and branch and cut,Key words. Steiner tree packing routing polyhedra branch-,branch,2001.0,"@article{Uchoa_2001, title={Vertex-Disjoint Packing of Two Steiner Trees: polyhedra and branch-and-cut}, volume={90}, ISSN={0025-5610}, url={http://dx.doi.org/10.1007/pl00011434}, DOI={10.1007/pl00011434}, number={3}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Uchoa, Eduardo and Poggi de Aragão, Marcus}, year={2001}, month=May, pages={537–557} }",15
paper_7f361a30bbbd,group2,group2,group2/820_812116515582115841_10.1007%2Fpl00011377.fixed.md,10.1007/pl00011377,Existence of optimal solutions and duality results under weak conditions,existence of optimal solutions and duality results under weak conditions,Key words. convex programming existence of optimal solutions duality convex analysis,analysis,2000.0,"@article{Auslender_2000, title={Existence of optimal solutions and duality results under weak conditions}, volume={88}, ISSN={0025-5610}, url={http://dx.doi.org/10.1007/pl00011377}, DOI={10.1007/pl00011377}, number={1}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Auslender, A.}, year={2000}, month=June, pages={45â€“59} }",4
paper_02011a6031d2,group2,group2,group2/820_812116518451019777_10.1007%2Fpl00011413.fixed.md,10.1007/pl00011413,On two homogeneous self-dual approaches to linear programming and its extensions,on two homogeneous self dual approaches to linear programming and its extensions,Two self-dual systems,systems,2000.0,"@article{Mizuno_2001, title={On two homogeneous self-dual approaches to linear programming and its extensions}, volume={89}, ISSN={0025-5610}, url={http://dx.doi.org/10.1007/pl00011413}, DOI={10.1007/pl00011413}, number={3}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Mizuno, Shinji and Todd, Michael J.}, year={2001}, month=Feb, pages={517â€“534} }",13
paper_9d960478f01a,group2,group2,group2/820_812116566576463872_10.1007%2Fpl00011369.fixed.md,10.1007/pl00011369,A trust region and affine scaling interior point method for nonconvex minimization with linear inequality constraints\*\*,a trust region and affine scaling interior point method for nonconvex minimization with linear inequality constraints,Key words. trust region interior point method Dikin-affine scaling Newton step,step,2000.0,"@article{Coleman_2000, title={A trust region and affine scaling interior point method for nonconvex minimization with linear inequality constraints}, volume={88}, ISSN={0025-5610}, url={http://dx.doi.org/10.1007/pl00011369}, DOI={10.1007/pl00011369}, number={1}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Coleman, Thomas F. and Li, Yuying}, year={2000}, month=June, pages={1â€“31} }",6
paper_2eaafcfa564a,group2,group2,group2/820_812117883399176194_10.1007%2Fs10107-005-0686-0.fixed.md,10.1007/s10107-005-0686-0,Michele Aghassi $\cdot$ Dimitris Bertsimas,michele aghassi cdot dimitris bertsimas,Robust game theory,theory,2006.0,"@article{Aghassi_2006, title={Robust game theory}, volume={107}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-005-0686-0}, DOI={10.1007/s10107-005-0686-0}, number={1-2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Aghassi, Michele and Bertsimas, Dimitris}, year={2006}, month=Feb, pages={231â€“273} }",12
paper_2ec10d173b2d,group2,group2,group2/820_812117935626649601_10.1007%2Fs10107-005-0701-5.fixed.md,10.1007/s10107-005-0701-5,Interior-point $\ell_2$ -penalty methods for nonlinear programming with strong global convergence properties,interior point ell 2 penalty methods for nonlinear programming with strong global convergence properties,Key words. Constrained optimization nonlinear programming primal-dual interior-point method global convergence penalty-barrier method modified Newton method,method,2006.0,"@article{Chen_2006, title={Interior-point ℓ2-penalty methods for nonlinear programming with strong global convergence properties}, volume={108}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-005-0701-5}, DOI={10.1007/s10107-005-0701-5}, number={1}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Chen, L. and Goldfarb, D.}, year={2006}, month=Feb, pages={1–36} }",6
paper_3dc694dd2e8c,group2,group2,group2/820_812118318176534530_10.1007%2Fs10107-004-0521-z.fixed.md,10.1007/s10107-004-0521-z,Mathieu Van Vyve,mathieu van vyve,Linear-programming extended formulations for the single-item lot-sizing problem with backlogging; constant capacity,backlogging,2006.0,"@article{Vyve_2006, title={Linear-programming extended formulations for the single-item lot-sizing problem with backlogging and constant capacity}, volume={108}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-004-0521-z}, DOI={10.1007/s10107-004-0521-z}, number={1}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Vyve, Mathieu Van}, year={2006}, month=Feb, pages={53â€“77} }",12
paper_90adc1315cbc,group2,group2,group2/820_812118366884986881_10.1007%2Fs10107-005-0643-y.fixed.md,10.1007/s10107-005-0643-y,Zigzag inequalities: a new class of facet-inducing inequalities for Arc Routing Problems,zigzag inequalities a new class of facet inducing inequalities for arc routing problems,Key words. Polyhedral Combinatorics Facets Arc Routing Windy Rural Postman Problem Windy General Routing Problem Mixed Rural Postman Problem,problem,2005.0,"@article{Corber_n_2006, title={Zigzag inequalities: a new class of facet-inducing inequalities for Arc Routing Problems}, volume={108}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-005-0643-y}, DOI={10.1007/s10107-005-0643-y}, number={1}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Corberán, Angel and Plana, Isaac and Sanchis, José M.}, year={2006}, month=Feb, pages={79–96} }",21
paper_396527c8921a,group2,group2,group2/820_812118555804827649_10.1007%2Fs10107-005-0679-z.fixed.md,10.1007/s10107-005-0679-z,Extending Scope of Robust Optimization: $\star$ Comprehensive Robust Counterparts of Uncertain Problems,extending scope of robust optimization star comprehensive robust counterparts of uncertain problems,Uncertain convex problems. RO is a methodology for modelling uncertain optimization problems of the form,form,2006.0,"@article{Ben_Tal_2006, title={Extending Scope of Robust Optimization: Comprehensive Robust Counterparts of Uncertain Problems}, volume={107}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-005-0679-z}, DOI={10.1007/s10107-005-0679-z}, number={1-2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Ben-Tal, Aharon and Boyd, Stephen and Nemirovski, Arkadi}, year={2006}, month=Feb, pages={63â€“89} }",2
paper_d8be82e39c90,group2,group2,group2/820_812120857999572994_10.1007%2Fs10107-005-0694-0.fixed.md,10.1007/s10107-005-0694-0,A constraint generation algorithm for large scale linear programs using multiple-points separation,a constraint generation algorithm for large scale linear programs using multiple points separation,Key words. Constraint generation Linear programming,programming,2005.0,"@article{Ben_Ameur_2005, title={A constraint generation algorithm for large scale linear programs using multiple-points separation}, volume={107}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-005-0694-0}, DOI={10.1007/s10107-005-0694-0}, number={3}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Ben-Ameur, Walid and Neto, José}, year={2005}, month=Dec, pages={517–537} }",19
paper_07de12d41c60,group2,group2,group2/820_812120879159836673_10.1007%2Fs10107-005-0693-1.fixed.md,10.1007/s10107-005-0693-1,A $2 + \varepsilon$ approximation algorithm for the $k$ -MST problem,a 2 varepsilon approximation algorithm for the k mst problem,Key words. k Minimum Spanning Tree Approximation algorithm Primal-Dual schema,schema,2005.0,"@article{Arora_2005, title={A 2 + ɛ approximation algorithm for the k-MST problem}, volume={107}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-005-0693-1}, DOI={10.1007/s10107-005-0693-1}, number={3}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Arora, Sanjeev and Karakostas, George}, year={2005}, month=Dec, pages={491–504} }",21
paper_770c64ac0697,group2,group2,group2/820_812120917592244226_10.1007%2Fs10107-005-0678-0.fixed.md,10.1007/s10107-005-0678-0,E. Erdoğan\* $\cdot$ G. Iyengar\*\*,e erdo an cdot g iyengar,Ambiguous chance constrained problems; robust optimization,problems,2005.0,"@article{Erdo_an_2005, title={Ambiguous chance constrained problems and robust optimization}, volume={107}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-005-0678-0}, DOI={10.1007/s10107-005-0678-0}, number={1-2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Erdoğan, E. and Iyengar, G.}, year={2005}, month=Dec, pages={37–61} }",12
paper_95171155d449,group2,group2,group2/820_812121018536558593_10.1007%2Fs10107-005-0691-3.fixed.md,10.1007/s10107-005-0691-3,The constrained minimum weighted sum of job completion times problem\*,the constrained minimum weighted sum of job completion times problem,Key words. Scheduling Combinatorial optimization Approximation scheme,scheme,2005.0,"@article{Levin_2005, title={The constrained minimum weighted sum of job completion times problem}, volume={108}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-005-0691-3}, DOI={10.1007/s10107-005-0691-3}, number={1}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Levin, Asaf and Woeginger, Gerhard J.}, year={2005}, month=Dec, pages={115â€“126} }",21
paper_7e388fb117e4,group2,group2,group2/820_812121048169316352_10.1007%2Fs10107-005-0692-2.fixed.md,10.1007/s10107-005-0692-2,On the gap between the quadratic integer programming problem and its semidefinite relaxation,on the gap between the quadratic integer programming problem and its semidefinite relaxation,Key words. Quadratic integer programming Semidefinite relaxation Linear matrix inequalities Zonotopes Hyperplane arrangements,arrangements,2005.0,"@article{Malik_2005, title={On the gap between the quadratic integer programming problem and its semidefinite relaxation}, volume={107}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-005-0692-2}, DOI={10.1007/s10107-005-0692-2}, number={3}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Malik, U. and Jaimoukha, I.M. and Halikias, G.D. and Gungah, S.K.}, year={2005}, month=Dec, pages={505â€“515} }",11
paper_6a6ec70b920b,group2,group2,group2/820_812121049566019586_10.1007%2Fs10107-005-0683-3.fixed.md,10.1007/s10107-005-0683-3,Robust Mean-Squared Error Estimation of Multiple Signals in Linear Systems Affected by Model and Noise Uncertainties,robust mean squared error estimation of multiple signals in linear systems affected by model and noise uncertainties,Key words. Minimax Mean-Squared Error Multiple Observations Robust Estimation Semidefinite Programming Block Circulant Matrices Discrete Fourier Transform,transform,2005.0,"@article{Beck_2005, title={Robust Mean-Squared Error Estimation of Multiple Signals in Linear Systems Affected by Model and Noise Uncertainties}, volume={107}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-005-0683-3}, DOI={10.1007/s10107-005-0683-3}, number={1-2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Beck, Amir and Ben-Tal, Aharon and Eldar, Yonina C.}, year={2005}, month=Dec, pages={155â€“187} }",18
paper_39977f27f970,group2,group2,group2/820_812121061863718912_10.1007%2Fs10107-005-0695-z.fixed.md,10.1007/s10107-005-0695-z,Convergence rate of Newton's method for $L_{2}$ spectral estimation,convergence rate of newton s method for l 2 spectral estimation,begin array l min int K s x d x text s. t. r k int K s x e j k x d x; k in Delta; tag s x geq end array,x,2005.0,,6
paper_a9edabdbba1c,group2,group2,group2/820_812121066167074816_10.1007%2Fs10107-005-0687-z.fixed.md,10.1007/s10107-005-0687-z,Robust global optimization with polynomials,robust global optimization with polynomials,Key words. Robust optimization Semidefinite programming Semidefinite relaxations,relaxations,2005.0,"@article{Lasserre_2005, title={Robust global optimization with polynomials}, volume={107}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-005-0687-z}, DOI={10.1007/s10107-005-0687-z}, number={1-2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Lasserre, Jean B.}, year={2005}, month=Dec, pages={275â€“293} }",2
