community_id,community_size,top_keywords,representative_papers,high_impact_papers
201,1,linear; conic; formulations; two; party; correlations,paper_5cf46cacb211,paper_5cf46cacb211
202,1,primal; ergodic; convergence; dual; subgradient; schemes,paper_e396c2df06cb,paper_e396c2df06cb
203,1,wait; judge; scenario; optimization,paper_a5175d7f1a88,paper_a5175d7f1a88
204,1,axiomatic; duality; framework; theta; body; related,paper_0f337d5b828d,paper_0f337d5b828d
205,1,min; max; robust; combinatorial; optimization,paper_7fea20f6bd48,paper_7fea20f6bd48
206,1,worst; case; strong; knapsack; facets,paper_54131c16a328,paper_54131c16a328
207,1,some; upper; lower; bounds; psd; rank,paper_dbc4053f9b2c,paper_dbc4053f9b2c
208,1,individual; confidence; intervals; solutions; expected; value,paper_8bdbfe27a41c,paper_8bdbfe27a41c
209,1,dynamic; linear; programming; games; risk; averse,paper_dc90f7cda365,paper_dc90f7cda365
210,1,convergence; lasserre; measure; hierarchy; upper; bounds,paper_34fbd0b33590,paper_34fbd0b33590
211,1,how; convexify; intersection; second; order; cone,paper_bf478bfdd113,paper_bf478bfdd113
212,1,note; alternating; projections; ill; posed; semidefinite,paper_d241df83275a,paper_d241df83275a
213,1,linear; convergence; alternating; direction; multipliers,paper_85a41f188ecd,paper_85a41f188ecd
214,1,decomposition; loosely; coupled; integer; programs; multiobjective,paper_70c088e05a09,paper_70c088e05a09
215,1,perturbed; fenchel; duality; first; order,paper_bb801dba8c68,paper_bb801dba8c68
216,1,optimality; conditions; nonlinear; semidefinite; programming; squared,paper_a384068a1bad,paper_a384068a1bad
217,1,finding; low; rank; basis; matrix; subspace,paper_346a38a2e273,paper_346a38a2e273
218,1,adaptability; stochastic; optimization,paper_defdfffb558d,paper_defdfffb558d
219,1,near; graphs; lovasz; schrijver; sdp; operator,paper_1bd8ef2b65cf,paper_1bd8ef2b65cf
220,1,short; proof; sticky; face; lemma,paper_cef7bf412f0a,paper_cef7bf412f0a
221,1,mixed; integer; quadratic; programming,paper_1bb64fcf5525,paper_1bb64fcf5525
222,1,approximation; algorithms; generalized; incremental; knapsack; problem,paper_646f525df557,paper_646f525df557
223,1,arboricity; games; core; nucleolus,paper_49c4946c5dee,paper_49c4946c5dee
224,1,maximizing; class; submodular; utility; functions; constraints,paper_c117e4724f76,paper_c117e4724f76
225,1,martin; anthony; endre; boros; yves; crama,paper_e39787720e24,paper_e39787720e24
226,1,variance; reduction; root; finding; problems,paper_00776bf0443f,paper_00776bf0443f
227,1,error; bounds; condition; number; absolute; value,paper_9623993b6aaa,paper_9623993b6aaa
228,1,box; total; dual; integrality; edge; connectivity,paper_ff702f7e054b,paper_ff702f7e054b
229,1,bounding; gap; between; mccormick; relaxation; convex,paper_40dd0fe85965,paper_40dd0fe85965
230,1,infty; estimates; trajectories; confined; closed; subset,paper_2f530dd86f76,paper_2f530dd86f76
231,1,bound; number; different; basic; solutions; generated,paper_c5addb7a1332,paper_c5addb7a1332
232,1,stackelberg; game; distributed; spectrum; management,paper_25122cb7ea97,paper_25122cb7ea97
233,1,effective; branch; bound; algorithm; convex; quadratic,paper_417088c099b8,paper_417088c099b8
234,1,note; complexity; minimization,paper_c2fe057830ba,paper_c2fe057830ba
235,1,complexity; computing; handicap; sufficient; matrix,paper_cf7dfcdc1867,paper_cf7dfcdc1867
236,1,bilinear; optimality; constraints; cone; positive; polynomials,paper_db95b353423e,paper_db95b353423e
237,1,numerical; block; diagonalization; matrix; algebras; application,paper_27830cfdcd23,paper_27830cfdcd23
238,1,differential; equation; solvers; accelerated; first; order,paper_a620833a161e,paper_a620833a161e
239,1,optimal; algorithm; superrelaxation; minimization; quadratic; function,paper_f1013a9a141b,paper_f1013a9a141b
240,1,linear; semidefinite; programming; relaxations; hypergraph; matching,paper_0c8559534dfc,paper_0c8559534dfc
241,1,static; stochastic; knapsack; problem; normally; distributed,paper_7109f1544773,paper_7109f1544773
242,1,flow; model; polylinking; system,paper_25c05eb964bc,paper_25c05eb964bc
243,1,infinite; subsmooth; semi; optimization; problems,paper_6d2d3f740d74,paper_6d2d3f740d74
244,1,clique; facets; precedence; constrained; knapsack; problem,paper_f739fbf5c8c6,paper_f739fbf5c8c6
245,1,set; hyperbolic; covering; problems; competing; ground,paper_2e0481056c93,paper_2e0481056c93
246,1,nonconvergence; plain; newton; min; algorithm; linear,paper_23c6d60d5a5f,paper_23c6d60d5a5f
247,1,optimal; stochastic; composite; optimization,paper_4028c43bcd21,paper_4028c43bcd21
248,1,statistical; ranking; combinatorial; hodge; theory,paper_8ebe5c3dbef6,paper_8ebe5c3dbef6
249,1,direct; searches; discontinuous; functions,paper_7b5f9bb06bd8,paper_7b5f9bb06bd8
250,1,epsilon; first; order; algorithm; mathcal; convergence,paper_19cb23e4031a,paper_19cb23e4031a
251,1,verifiable; conditions; ell; recovery; sparse; signals,paper_d52ead397063,paper_d52ead397063
252,1,null; space; conditions; thresholds; rank; minimization,paper_25949a176749,paper_25949a176749
253,1,line; search; exact; penalty; steering; rules,paper_ee1b65a0ea2b,paper_ee1b65a0ea2b
254,1,ranking; model; greedy; algorithm; discrete; convexity,paper_3a74d4463bb1,paper_3a74d4463bb1
255,1,counterexample; conjecture; gomory; johnson,paper_080e76fb6ead,paper_080e76fb6ead
256,1,integer; approximation; error; mixed; optimal; control,paper_ea7ca91a28ff,paper_ea7ca91a28ff
257,1,bin; packing; general; cost; structures,paper_01d6139435a1,paper_01d6139435a1
258,1,approximation; accuracy; gradient; error; bound; structured,paper_c82a21d2b78a,paper_c82a21d2b78a
259,1,holder; metric; regularity; set; valued; maps,paper_f806b0a4c07a,paper_f806b0a4c07a
260,1,matrix; exploiting; sparsity; linear; nonlinear; inequalities,paper_cd82a7d9b3f4,paper_cd82a7d9b3f4
261,1,results; windy; postman; problem,paper_a40f74bf61f4,paper_a40f74bf61f4
262,1,enumerative; nature; gomory; dual; cutting; plane,paper_23069bbe8fa8,paper_23069bbe8fa8
263,1,characterization; strong; stability; stationary; points; mpcc,paper_940f7a6180b4,paper_940f7a6180b4
264,1,three; modeling; paradigms; mathematical; programming,paper_09a7885a3141,paper_09a7885a3141
265,1,demand; allocation; latency; cost; functions,paper_45009b453c9a,paper_45009b453c9a
266,1,risk; averse; dynamic; programming; markov; decision,paper_bece632c27f1,paper_bece632c27f1
267,1,weighted; independent; even; factor; algorithm,paper_f1786040c24a,paper_f1786040c24a
268,1,polyhedral; alldifferent; system,paper_8b7c14c1bb46,paper_8b7c14c1bb46
269,1,worst; case; clique; mips,paper_5008479798d6,paper_5008479798d6
270,1,constraint; augmentation; pseudo; singularly; perturbed; linear,paper_b363ee35ea25,paper_b363ee35ea25
271,1,recognizing; binet; matrices,paper_9e7040d64020,paper_9e7040d64020
272,1,newton; computing; normalized; equilibrium; generalized; nash,paper_d43b0d5c6aef,paper_d43b0d5c6aef
273,1,minmax; distance; approximation; separation; problems; geometrical,paper_8eece324e500,paper_8eece324e500
274,1,parametric; nonlinear; discrete; optimization; well; described,paper_a6ae542fff3c,paper_a6ae542fff3c
275,1,dominant; cut; polytope; vertices; facets; adjacency,paper_726bb07af33b,paper_726bb07af33b
276,1,small; chv; tal; rank,paper_970d8f32270e,paper_970d8f32270e
277,1,max; flow; min; cut; bounded; length,paper_3b975b7218b0,paper_3b975b7218b0
278,1,locating; leak; detecting; sensors; water; distribution,paper_183e943e57aa,paper_183e943e57aa
279,1,orientation; models; survivable; network; design; theory,paper_f8fa2bddb026,paper_f8fa2bddb026
280,1,efficient; fair; routing; mesh; networks,paper_ee39e441d546,paper_ee39e441d546
281,1,price; design; mechanisms; network; resource; allocation,paper_218336a4bb63,paper_218336a4bb63
282,1,reformulations; mathematical; programming; automatic; symmetry; detection,paper_ee6f93e09b38,paper_ee6f93e09b38
283,1,graph; realizations; associated; minimizing; maximum; eigenvalue,paper_0431c122c0cb,paper_0431c122c0cb
284,1,multicriteria; optimization; multiobjective; golden; section; line,paper_4606c2fe14f7,paper_4606c2fe14f7
285,1,convex; set; characterizations; extensions; geometric; hull,paper_a757bcc56951,paper_a757bcc56951
286,1,first; order; conditions; semidefinite; representations; convex,paper_91639e4489db,paper_91639e4489db
287,1,maximal; monotonicity; criteria; composition; sum; weak,paper_f4e10d5d61c1,paper_f4e10d5d61c1
288,1,geometrical; insight; pseudoconvexity; pseudomonotonicity,paper_3572c1878b09,paper_3572c1878b09
289,1,processing; second; order; stochastic; dominance; models,paper_b7bfe37372cb,paper_b7bfe37372cb
290,1,metric; towards; variational; spaces; regularity; fixed,paper_21b9de6dab39,paper_21b9de6dab39
291,1,autoconjugate; representatives; linear; monotone; operators,paper_94dfc2f6ab82,paper_94dfc2f6ab82
292,1,mixed; semicontinuous; perturbations; nonconvex; sweeping; processes,paper_3270d4b32b82,paper_3270d4b32b82
293,1,totally; fenchel; unstable; functions; finite; dimensional,paper_c12fec0d778b,paper_c12fec0d778b
294,1,note; approximate; lagrange; multiplier; rule,paper_c71701b9ac76,paper_c71701b9ac76
295,1,local; stability; semidefinite; relaxations,paper_d4f075a940ef,paper_d4f075a940ef
296,1,efficient; branch; bound; algorithms; weighted; max,paper_df636761aaa5,paper_df636761aaa5
297,1,representing; simple; dimensional; polytopes; polynomials,paper_16a94f3b419c,paper_16a94f3b419c
298,1,single; source; unsplittable; flows; arc; wise,paper_74a10359398a,paper_74a10359398a
299,1,computational; robust; portfolio; selection; joint; ellipsoidal,paper_419d3f0a68a9,paper_419d3f0a68a9
300,1,short; note; linear; convergence; steepest; descent,paper_e1b8fd759df5,paper_e1b8fd759df5
301,1,separable; self; concordant; spectral; functions; conjecture,paper_ee5c307c0cbd,paper_ee5c307c0cbd
302,1,multiobjective; bilevel; optimization,paper_f31e12f19fcc,paper_f31e12f19fcc
303,1,cardinality; constrained; cycle; path; polytopes,paper_3fd65661e181,paper_3fd65661e181
304,1,retrospective; trust; region; unconstrained; optimization,paper_21533e5a8d90,paper_21533e5a8d90
305,1,computing; nucleolus; weighted; voting; games; pseudo,paper_74dca662449a,paper_74dca662449a
306,1,inexact; newton; nonconvex; equality; constrained; optimization,paper_5dc9bf992aa4,paper_5dc9bf992aa4
307,1,index; minimization; differential; algebraic; equations; hybrid,paper_ebf7e86fdddf,paper_ebf7e86fdddf
308,1,weighted; restricted; matching,paper_96a9357119a7,paper_96a9357119a7
309,1,one; commodity; pickup; delivery; traveling; salesman,paper_f376dd8c02b9,paper_f376dd8c02b9
310,1,stochastic; gradient; type; algorithm; closed; loop,paper_9679e1419c5c,paper_9679e1419c5c
311,1,robust; aptas; classical; bin; packing; problem,paper_19d4e175d200,paper_19d4e175d200
312,1,duality; option; investment; strategies; hedge; funds,paper_738e3c9cb486,paper_738e3c9cb486
313,1,note; regularity; reduced; models; obtained; nonlocal,paper_df188d614364,paper_df188d614364
314,1,generalization; chv; tal; gomory; closure,paper_846eaf166ce2,paper_846eaf166ce2
315,1,simplex; initial; basic; feasible; solution,paper_d700d5e89836,paper_d700d5e89836
316,1,uncapacitated; lot; sizing; backlogging; convex; hull,paper_23df99c06b15,paper_23df99c06b15
317,1,mathematical; formulation,paper_a5622cc404ad,paper_a5622cc404ad
318,1,matrices; determinants,paper_bd090606b3fb,paper_bd090606b3fb
319,1,bounded; variable; problems,paper_fd016eb47902,paper_fd016eb47902
320,1,clique; circulants; stable; set; polytope; fuzzy,paper_15d6f8fcda10,paper_15d6f8fcda10
321,1,regression,paper_867e21f5da00,paper_867e21f5da00
322,1,hungarian,paper_58549512e7ba,paper_58549512e7ba
323,1,basic; theory; sets; functions,paper_42535e0f2996,paper_42535e0f2996
324,1,linear; transformations; rank,paper_b50c36f0c83b,paper_b50c36f0c83b
325,1,quadratic; forms; eigenvalue; problems,paper_2c281754d86f,paper_2c281754d86f
326,1,expected; volume; model,paper_a24427532cd5,paper_a24427532cd5
327,1,unconstrained; optimization,paper_0629e4ac2a2a,paper_0629e4ac2a2a
328,1,duality; linear; programming,paper_076985f21735,paper_076985f21735
329,1,fptas; optimizing; polynomials; mixed; integer; points,paper_57f6f413e0d5,paper_57f6f413e0d5
330,1,basic; features; dynamic; programming; problems; principle,paper_b7d9e7b1f112,paper_b7d9e7b1f112
331,1,background; historical; sketch,paper_80ff93a381cf,paper_80ff93a381cf
332,1,post; optimization; problems; sensitivity; parametric; programming,paper_d3bebc785e95,paper_d3bebc785e95
333,1,variants; simplex,paper_45271d5a8da3,paper_45271d5a8da3
334,1,simplex; theory; computation,paper_9c92d0a88d17,paper_9c92d0a88d17
335,1,linear; programming; problems,paper_ac12f4f6b08b,paper_ac12f4f6b08b
336,1,linear; systems; equations; inequalities,paper_86f9ac9a7686,paper_86f9ac9a7686
337,1,some; special; topics; mathematical; programming,paper_0edfb2b12ea0,paper_0edfb2b12ea0
338,1,convex; concave; functions,paper_4c40af79b44a,paper_4c40af79b44a
339,1,degeneracy; linear; programming,paper_53de5c4a965a,paper_53de5c4a965a
340,1,convex; sets; cones,paper_09eac21b0e9f,paper_09eac21b0e9f
341,1,revised; simplex,paper_5a3e38a6a6e3,paper_5a3e38a6a6e3
342,1,fields,paper_6e5c16327bc2,paper_6e5c16327bc2
343,1,simple; gap; canceling; algorithm; generalized; maximum,paper_2e5bd557c20f,paper_2e5bd557c20f
344,1,direct; maximal; lower; bound; mixed; integer,paper_2655dd9681a4,paper_2655dd9681a4
345,1,necessity; moreau; rockafellar; robinson; qualification; condition,paper_c721b62c0a60,paper_c721b62c0a60
346,1,convex; optimization; minimizing; ratio; indefinite; quadratic,paper_be3a401fd4d4,paper_be3a401fd4d4
347,1,modified; cholesky; algorithms; catalog; approaches,paper_5600393ee6d4,paper_5600393ee6d4
348,1,generalized; nash; equilibrium; problems; newton,paper_a4a2e21ab436,paper_a4a2e21ab436
349,1,cellation; grassmann; manifold,paper_3276f79eba08,paper_3276f79eba08
350,1,games; nucleon; cooperative; algorithm; matching,paper_542fc6871139,paper_542fc6871139
351,1,variable; penalty; alternating; directions; convex; optimization,paper_ebb01d855f04,paper_ebb01d855f04
352,1,finding; envy; free; pareto; optimal; division,paper_1842f8f07f05,paper_1842f8f07f05
353,1,infeasible; interior; point; paths; sufficient; linear,paper_8fc97fee7f68,paper_8fc97fee7f68
354,1,generalized; semi; infinite; optimization; first; order,paper_69f806a698ad,paper_69f806a698ad
355,1,characterizing; bounding; imperfection; ratio; some; classes,paper_edaa2bd1b804,paper_edaa2bd1b804
356,1,convergence; rate; block; coordinate; maximization; burer,paper_27bada6ede05,paper_27bada6ede05
357,1,condition; measures; properties; central; trajectory; linear,paper_ef342fda0e83,paper_ef342fda0e83
358,1,affine; scaling; algorithm; fails; semidefinite; programming,paper_20d17e79a977,paper_20d17e79a977
359,1,global; convergence; sqp; without; boundedness; assumptions,paper_eb7c5b90e3ae,paper_eb7c5b90e3ae
360,1,approximate; iterations; bregman; function; proximal; algorithms,paper_0af6d8916293,paper_0af6d8916293
361,1,worst; case; analyses; linear; programming; bin,paper_6e352c6f7a3a,paper_6e352c6f7a3a
362,1,theoretical; numerical; investigation; gap; function; box,paper_b392348bcf4b,paper_b392348bcf4b
363,1,plant; location; minimum; inventory,paper_596361a40484,paper_596361a40484
364,1,optimization; stability; inclusions; banach; spaces,paper_3aacaa0a47a2,paper_3aacaa0a47a2
365,1,transformations; proper; symmetric; cones,paper_16b95360ef82,paper_16b95360ef82
366,1,variable; number; sample; path; optimization,paper_4764e93ed17c,paper_4764e93ed17c
367,1,control; gap; second; order; optimality; conditions,paper_c0a5b1c875cc,paper_c0a5b1c875cc
368,1,tame; functions; semismooth,paper_5c3c048a950a,paper_5c3c048a950a
369,1,multiobjective; optimization; problems; equilibrium; constraints,paper_1c3eefdeb1c3,paper_1c3eefdeb1c3
370,1,dual; largest; ellipsoids; inscribed; cones,paper_dc84d6da8dc0,paper_dc84d6da8dc0
371,1,path; strong; bound; integral; central; curvature,paper_0c3a8e1f5868,paper_0c3a8e1f5868
372,1,weighted; even; factor; algorithm,paper_c75404b84a18,paper_c75404b84a18
373,1,optimality; conditions; global; optimization; their; applications,paper_e9d25fd8acbe,paper_e9d25fd8acbe
374,1,two; well; known; properties; subgradient; optimization,paper_d3ad1d1b63d7,paper_d3ad1d1b63d7
375,1,how; does; stochastic; optimization; approximation; algorithm,paper_ce68c9c64c81,paper_ce68c9c64c81
376,1,convex; can; helpful; asymptotic; monotone; operators,paper_ca580afa96c8,paper_ca580afa96c8
377,1,extra; proximal; solving; two; person; nonzero,paper_f07071fd1848,paper_f07071fd1848
378,1,non; projected; subgradient; euclidean; distances; differentiable,paper_87cd88119046,paper_87cd88119046
379,1,characterizations; linear; suboptimality; mathematical; programs; equilibrium,paper_85e93c54a6c8,paper_85e93c54a6c8
380,1,long; time; missions; fuel; optimal; attitude,paper_fd8994e5f69a,paper_fd8994e5f69a
381,1,capacitated; max; cut; problem,paper_b1b5bea453dd,paper_b1b5bea453dd
382,1,regularized; newton; unconstrained; convex; optimization,paper_2726e04e7ea6,paper_2726e04e7ea6
383,1,analyticity; weighted; central; paths; error; bounds,paper_c03014b2ec4c,paper_c03014b2ec4c
384,1,robust; efficient; optimization; control; constraints,paper_ad1fb7b9cef8,paper_ad1fb7b9cef8
385,1,links; between; directional; derivatives; through; multidirectional,paper_6b1ae0a39330,paper_6b1ae0a39330
386,1,gradient; heavy; ball; friction; dynamical; systems,paper_d0332cdfcf4f,paper_d0332cdfcf4f
387,1,local; convergence; property; primal; dual; nonlinear,paper_8b86ff07a58f,paper_8b86ff07a58f
388,1,approximation; algorithms; general; packing; problems; their,paper_4f8b94dcfab5,paper_4f8b94dcfab5
389,1,self; concordant; barrier; functions; conic; hulls,paper_4e736bae767e,paper_4e736bae767e
390,1,frac; chv; tal; gomory; cuts,paper_04f50e026975,paper_04f50e026975
391,1,continuous; fully; polynomial; time; sigma; approximation,paper_9f8d65e6362c,paper_9f8d65e6362c
392,1,logical; numerical; data,paper_a826295e4767,paper_a826295e4767
393,1,infeasible; interior; point; algorithm; solving; primal,paper_1291fdc85994,paper_1291fdc85994
394,1,fast; convergence; simplified; largest; step; path,paper_ac850d0ecab1,paper_ac850d0ecab1
395,1,efficiently; solvable; special; cases; hard; combinatorial,paper_721c516b8a0c,paper_721c516b8a0c
396,1,certain; conditions; existence; solutions; equilibrium; problems,paper_e21ad1634b84,paper_e21ad1634b84
397,1,measure; concentration; optimization,paper_c6a07ed919a7,paper_c6a07ed919a7
398,1,projective; solving; linear; matrix; inequalities,paper_68d0093cc423,paper_68d0093cc423
399,1,steiner; tree; packing; problem; vlsi; design,paper_94b2bff6d98d,paper_94b2bff6d98d
400,1,sup; preconditioning; proximal; newton; nondifferentiable; convex,paper_0b900e8ebdcb,paper_0b900e8ebdcb
401,1,tradeoff; directions; multiobjective; optimization; problems,paper_3e188eee437d,paper_3e188eee437d
402,1,convergence; variational; bivariate; functions; lopsided,paper_e5881e809a0f,paper_e5881e809a0f
403,1,polynomiality; primal; dual; affine; scaling; algorithms,paper_2bc8bccaead0,paper_2bc8bccaead0
404,1,separating; plane; algorithms; convex; optimization,paper_5f0cb0f64bdc,paper_5f0cb0f64bdc
405,1,minimum; perimeter; domain; assignment,paper_9d137af3d2d5,paper_9d137af3d2d5
406,1,monotonization; polyhedra,paper_bf072985d2f8,paper_bf072985d2f8
407,1,trust; region; minimization; nonsmooth; functions; linear,paper_96437f0087d9,paper_96437f0087d9
408,1,pseudomonotone; variational; inequality; problems; existence; solutions,paper_fe0c03adf856,paper_fe0c03adf856
409,1,informationally; optimal; correlation,paper_a53af066756c,paper_a53af066756c
410,1,sup; class; polynomial; variable; metric; algorithms,paper_7a28d939bee4,paper_7a28d939bee4
411,1,implicit; multifunction; theorems; sensitivity; variational; conditions,paper_e14756b06a56,paper_e14756b06a56
412,1,stability; perturbations; some; condition; numbers; optimization,paper_a16c1ef2b8eb,paper_a16c1ef2b8eb
413,1,symbolic; fenchel; conjugation,paper_5501e8d0f8ac,paper_5501e8d0f8ac
414,1,newton; linear; complementarity; problems,paper_619724479f05,paper_619724479f05
415,1,clarification; certain; alpha; beta; polarity; results,paper_9a574313c84c,paper_9a574313c84c
416,1,solution; set; homotopy; equation; between; polynomials,paper_fceac6f8fdc9,paper_fceac6f8fdc9
417,1,rational; solutions; graphsack; problem,paper_02890b551eb6,paper_02890b551eb6
418,1,exponential; weight; algorithm; continuous; time,paper_df80c717f6b8,paper_df80c717f6b8
419,1,regularization; parameterized; trust; region; subproblem,paper_366dda1b4a53,paper_366dda1b4a53
420,1,linearization; heuristic; single; machine; scheduling; maximize,paper_c97cb242c0e5,paper_c97cb242c0e5
421,1,complexity; exchange; algorithm; minimax; optimization; problems,paper_f3cfec9f939c,paper_f3cfec9f939c
422,1,range; efficient; frontier; multiple; objective; linear,paper_965c8d997e85,paper_965c8d997e85
423,1,two; kinds; normality; vector; optimization,paper_26697e86f81e,paper_26697e86f81e
424,1,cost; computing; roots; polynomials,paper_eedf74a07d14,paper_eedf74a07d14
425,1,subdifferential; characterization; approximate; convexity; lower; semicontinuous,paper_3cffd8e4b530,paper_3cffd8e4b530
426,1,bundle; filter; nonsmooth; convex; constrained; optimization,paper_83f18512e75d,paper_83f18512e75d
427,1,piecewise; linear; upper; bound; network; recoourse,paper_dedd05440168,paper_dedd05440168
428,1,primal; dual; stability; continuous; linear; optimization,paper_8e4874f63d46,paper_8e4874f63d46
429,1,solving; linear; programs; sign; patterns,paper_9b7550ce7975,paper_9b7550ce7975
430,1,stackelberg; pricing; games; congestion; effects,paper_fd2813d61716,paper_fd2813d61716
431,1,worst; case; greedy; algorithms; subset; sum,paper_cf44e742b8c4,paper_cf44e742b8c4
432,1,unifying; model; retraction; fixed; point; algorithms,paper_11fa386e466e,paper_11fa386e466e
433,1,linesearch; algorithm; nonlinear; least; squares; problems,paper_10d72f5b2b57,paper_10d72f5b2b57
434,1,cutting; plane; capacitated; lot; sizing; start,paper_7f1ba62885af,paper_7f1ba62885af
435,1,input; optimization; optimal; realizations; mathematical; models,paper_41e90a8a19e0,paper_41e90a8a19e0
436,1,criteria; differentiable; generalized; monotone; maps,paper_f331eafb4eb4,paper_f331eafb4eb4
437,1,distributed; asynchronous; computation; fixed; points,paper_7b2537fe5eb4,paper_7b2537fe5eb4
438,1,active; set; solving; linearly; constrained; nonsmooth,paper_8ecc967584a8,paper_8ecc967584a8
439,1,binary; integer; programs; two; variables; per,paper_0102a0093533,paper_0102a0093533
440,1,slp; ior; interactive; model; management; system,paper_7b94cec273da,paper_7b94cec273da
441,1,global; convergence; path; following; determine; all,paper_4c5d42ffc5e3,paper_4c5d42ffc5e3
442,1,global; convergence; partitioned; bfgs; algorithm; convex,paper_f64faf78baee,paper_f64faf78baee
443,1,complexity; discrete; tchebycheff; approximation; exact; arithmetic,paper_b2806cc62b1a,paper_b2806cc62b1a
444,1,improved; disaggregation; transportation; problems,paper_dc2e033591f2,paper_dc2e033591f2
445,1,numerical; experiments; lancelot; package; release; large,paper_0406784ce773,paper_0406784ce773
446,1,conjugacy; quasi; convex; programming,paper_be7b9b40c631,paper_be7b9b40c631
447,1,optimization; unconstrained; functions; sparse; hessian; matrices,paper_b8897ebb70fc,paper_b8897ebb70fc
448,1,algorithm; ray; simplicial; compute; economic; equilibria,paper_85d39d3d696d,paper_85d39d3d696d
449,1,integral; approximation; sequences,paper_ae212ea35e40,paper_ae212ea35e40
450,1,revisions; constraint; approximations; sucessive; nonlinear; programming,paper_406ccac46eb4,paper_406ccac46eb4
451,1,algorithm; generalized; fractional; programs,paper_2bfb4321c81a,paper_2bfb4321c81a
452,1,fat; triangulations; solving; certain; nonconvex; matrix,paper_b5dd2e0d7422,paper_b5dd2e0d7422
453,1,increase; computational; efficiency; certain; quadratic; programming,paper_0da866d0178e,paper_0da866d0178e
454,1,computational; complexity; van; der; heyden; variable,paper_3efa4fec7bbe,paper_3efa4fec7bbe
455,1,epsilon; penalty; functions; programming; minimax; problems,paper_f6ca5c7c5bf5,paper_f6ca5c7c5bf5
456,1,strongly; polynomial; algorithm; concave; production; transportation,paper_6a69dda6887e,paper_6a69dda6887e
457,1,duality; theorem; semi; infinite; convex; programs,paper_65d324d3053d,paper_65d324d3053d
458,1,maximal; flow; through; domain,paper_1ae81ba577d6,paper_1ae81ba577d6
459,1,implementing; bounds; approximations; convex; concave; two,paper_fd9d2394052c,paper_fd9d2394052c
460,1,maximum; throughput; dynamic; network; flows,paper_d348b43c2839,paper_d348b43c2839
461,1,shortest; paths; algorithms; theory; experimental; evaluation,paper_7f61150e771c,paper_7f61150e771c
462,1,directional; derivatives; value; function; semi; infinite,paper_6339d04fc253,paper_6339d04fc253
463,1,solving; generalized; equations; homotopies,paper_87dc83d0c3f8,paper_87dc83d0c3f8
464,1,necessary; sufficient; conditions; constrained; optimization,paper_f6604554e3d7,paper_f6604554e3d7
465,1,economic; planning; institutional; price; constraints; decentralized,paper_5d6b3e6c62dd,paper_5d6b3e6c62dd
466,1,polyhedral; extension; some; theorems,paper_37e0c08cda7d,paper_37e0c08cda7d
467,1,vector; maximisation; lagrange; multipliers,paper_f27ee1b658b7,paper_f27ee1b658b7
468,1,subgradient; optimization; applied; discrete; nonlinear; problem,paper_87a17b35352d,paper_87a17b35352d
469,1,extended; formulations; cut; problem,paper_6b57e7a2df6e,paper_6b57e7a2df6e
470,1,greedy; algorithm; random; costs,paper_8279b027bb09,paper_8279b027bb09
471,1,resolution; integrality; satisfiability; problems,paper_94239b16b217,paper_94239b16b217
472,1,partial; order; polytope; digraph,paper_444b33f3d09a,paper_444b33f3d09a
473,1,consistency; finite; systems; convex; inequalities,paper_24af566b42dd,paper_24af566b42dd
474,1,generalized; convexity; concavity; optimal; value; function,paper_be2a90d51df6,paper_be2a90d51df6
475,1,quadratic; geometric; programming; application; machining; economics,paper_882be14ca112,paper_882be14ca112
476,1,forcing; sparsity; projecting; respect; non; diagonally,paper_b6e192c76a89,paper_b6e192c76a89
477,1,generalized; equations; newton,paper_66fe2c249eca,paper_66fe2c249eca
478,1,primal; dual; inexact; subgradient,paper_857d3b325c16,paper_857d3b325c16
479,1,induced; duality; its; applications,paper_8061ee871be7,paper_8061ee871be7
480,1,primal; dual; algorithm; fermat; weber; problem,paper_0a6660f84779,paper_0a6660f84779
481,1,triangulations; tilings; certain; block; triangular; matrices,paper_9b90864fd07d,paper_9b90864fd07d
482,1,note; limiting; infisup; theorems,paper_b816cc9b5a2c,paper_b816cc9b5a2c
483,1,characterizing; optimal; input; perturbed; convex; programming,paper_f16ae896cc04,paper_f16ae896cc04
484,1,finite; algorithm; continuous; center; location; problem,paper_874976911503,paper_874976911503
485,1,counting; almost; minimum; cutsets; reliability; applications,paper_0ce1c37631ce,paper_0ce1c37631ce
486,1,extended; linear; complementarity; problem,paper_57b338223188,paper_57b338223188
487,1,worst; case; differencing; partition; problem,paper_b1e0ab1c3f5a,paper_b1e0ab1c3f5a
488,1,permutahedron; sparse; posets,paper_6c060d02e7af,paper_6c060d02e7af
489,1,halin; graphs; travelling; salesman; problem,paper_38e33650e520,paper_38e33650e520
490,1,convergence; variable; metric; matrices; unconstrained; optimization,paper_38d17f38d727,paper_38d17f38d727
491,1,stability; concept; matrix; game; optimal; strategies,paper_7002015c9e9d,paper_7002015c9e9d
492,1,generalization; polyak; convergence; result; subgradient; optimization,paper_0eb50c15a607,paper_0eb50c15a607
493,1,long; vectors; quasi; newton; updates,paper_a55392633e26,paper_a55392633e26
494,1,generalized; surrogate; duality; mixed; integer; nonlinear,paper_7788bf496e2f,paper_7788bf496e2f
495,1,sparse; graphs; augmentation; problem,paper_9cce27ca24a0,paper_9cce27ca24a0
496,1,cost; scaling; algorithm; minimum; node; capacitated,paper_ffe16c993807,paper_ffe16c993807
497,1,mathematical; programs; vanishing; constraints; optimality; conditions,paper_64d54eb22cfe,paper_64d54eb22cfe
